(18,37)
(18,16)
(11,10)
(10,28)
(20,2)
(19,2)
(20,87)
(37,14)
(11,37)
(20,7)
(10,5)
(21,44)
(11,30)
(18,14)
(10,38)
(26,18)
(20,1)
(21,100)
(21,11)
(21,54)
(10,1)
(37,1)
(21,33)
(18,47)
(26,10)
(21,4)
(10,14)
(18,27)
(21,9)
(11,13)
(21,36)
(26,1)
(20,84)
(10,41)
(11,37)
(10,98)
(19,17)
(10,30)
(19,61)
(10,41)
(10,54)
(21,42)
(10,35)
(19,14)
(21,6)
(19,6)
(20,61)
(20,1)
(20,4)
(37,98)
(18,3)
(37,18)
(18,37)
(11,5)
(19,11)
(21,3)
(26,5)
(26,5)
(18,91)
(11,49)
(19,15)
(11,57)
(18,12)
(37,4)
(19,10)
(26,9)
(21,59)
(10,58)
(26,21)
(19,2)
(37,86)
(10,1)
(26,8)
(10,30)
(11,13)
(19,37)
(26,69)
(21,43)
(19,100)
(21,1)
(21,33)
(10,73)
(18,1)
(11,10)
(37,6)
(19,2)
(20,5)
(19,5)
(21,38)
(20,11)
(26,15)
(26,77)
(20,17)
(26,45)
(19,28)
(19,85)
(20,32)
(26,7)
(19,21)
(10,90)
(21,53)
(26,68)
(37,5)
(19,10)
(26,27)
(21,4)
(11,70)
(21,4)
(18,31)
(19,1)
(20,1)
(18,1)
(26,7)
(26,78)
(37,96)
(20,48)
(20,5)
(21,90)
(11,4)
(10,6)
(37,91)
(37,100)
(37,92)
(18,2)
(20,29)
(20,83)
(37,3)
(11,1)
(26,4)
(10,5)
(18,29)
(26,27)
(11,14)
(19,48)
(20,20)
(10,21)
(11,14)
(26,66)
(10,1)
(21,34)
(19,16)
(18,90)
(26,1)
(37,3)
(11,6)
(19,23)
(37,18)
(11,84)
(18,8)
(19,66)
(19,15)
(10,59)
(37,28)
(21,28)
(20,30)
(37,5)
(11,23)
(18,37)
(10,82)
(11,87)
(26,6)
(18,4)
(26,72)
(26,90)
(11,10)
(11,49)
(37,1)
(26,4)
(26,10)
(18,16)
(26,54)
(11,42)
(20,1)
(20,86)
(11,66)
(21,1)
(18,32)
(21,66)
(10,18)
(11,33)
(20,93)
(37,74)
(19,97)
(11,1)
(19,8)
(20,67)
(19,53)
(26,9)
(20,18)
(20,13)
(19,24)
(37,51)
(19,11)
(20,28)
(21,67)
(18,40)
(10,88)
(19,24)
(10,72)
(26,75)
(37,2)
(19,66)
(11,11)
(26,57)
(19,2)
(10,14)
(18,6)
(26,2)
(18,6)
(18,11)
(21,22)
(37,51)
(18,57)
(26,88)
(37,35)
(11,4)
(20,40)
(20,41)
(21,1)
(19,38)
(18,2)
(10,6)
(37,53)
(20,60)
(19,11)
(26,40)
(26,54)
(26,68)
(20,77)
(21,47)
(10,1)
(10,8)
(10,4)
(11,1)
(20,29)
(21,44)
(37,1)
(20,54)
(18,14)
(19,1)
(21,1)
(20,1)
(21,13)
(10,26)
(20,3)
(21,18)
(20,55)
(18,17)
(11,78)
(20,83)
(10,2)
(20,5)
(11,8)
(20,7)
(37,18)
(21,6)
(21,21)
(37,2)
(10,20)
(10,1)
(18,38)
(21,3)
(20,77)
(18,75)
(37,24)
(37,16)
(26,1)
(20,32)
(19,4)
(11,7)
(18,1)
(37,90)
(10,95)
(18,5)
(26,6)
(19,10)
(19,56)
(21,21)
(21,4)
(26,22)
(10,3)
(21,80)
(26,40)
(21,4)
(11,77)
(19,19)
(19,35)
(26,29)
(19,1)
(20,20)
(10,12)
(18,22)
(37,12)
(18,1)
(18,1)
(18,9)
(10,10)
(18,69)
(26,2)
(20,16)
(11,98)
(10,2)
(21,3)
(37,48)
(11,52)
(26,100)
(26,13)
(20,13)
(19,49)
(20,83)
(37,1)
(19,40)
(37,39)
(11,12)
(26,22)
(19,83)
(20,25)
(10,52)
(19,7)
(37,38)
(18,39)
(20,14)
(19,61)
(37,72)
(10,4)
(26,19)
(19,24)
(20,38)
(18,7)
(26,34)
(19,57)
(21,2)
(19,8)
(21,31)
(20,51)
(37,19)
(37,86)
(19,3)
(18,67)
(18,91)
(20,9)
(21,15)
(10,16)
(20,65)
(11,42)
(26,27)
(11,73)
(26,52)
(11,65)
(26,65)
(26,45)
(18,95)
(18,5)
(21,20)
(19,22)
(11,38)
(18,1)
(26,4)
(21,81)
(11,1)
(11,73)
(37,3)
(21,21)
(10,1)
(11,2)
(11,1)
(21,42)
(10,55)
(37,10)
(11,9)
(10,3)
(19,3)
(19,88)
(26,21)
(11,1)
(11,21)
(10,4)
(20,19)
(37,6)
(26,4)
(21,13)
(18,1)
(21,61)
(11,44)
(20,5)
(37,10)
(11,30)
(20,79)
(37,21)
(18,9)
(18,63)
(26,46)
(10,2)
(37,1)
(19,23)
(10,83)
(11,4)
(20,40)
(37,1)
(11,12)
